Evo_Bichat_3_030_T0	Evo_Bichat_1_019_T0	Evo_Bichat_2_006_T1	Evo_Bichat_1_025_T1	Evo_Bichat_3_015_T0	Evo_Utrecht_cin_209_A	Evo_Bichat_2_006_T0	Evo_Utrecht_cin_169_B	Evo_Bichat_1_022_T1	Evo_Utrecht_cin_163_B	Evo_Bichat_1_011_bis_T1	Evo_Utrecht_cin_164_A	Evo_Bichat_3_030_T1	Evo_Utrecht_cin_319_C	Evo_Bichat_3_029_T1	Evo_Bichat_3_032_T1	Evo_Bichat_3_008_T1	Evo_Bichat_3_031_T1	Evo_Utrecht_cin_309_A	Evo_Bichat_1_014_T0	Evo_Utrecht_cin_163_C	Evo_Utrecht_XZ_025	Evo_Utrecht_cin_108_B	Evo_Utrecht_cin_164_D	Evo_Bichat_3_016_T1	Evo_Bichat_3_034_T1	Evo_Utrecht_cin_108_D	Evo_Bichat_1_022_T2	Evo_Utrecht_cin_180_B	Evo_Bichat_3_028_T1	Evo_Utrecht_cin_120_F	Evo_Utrecht_XZ_004	Evo_Utrecht_cin_233_B	Evo_Bichat_3_024_T0	Evo_Madrid_EFQ_2	Evo_Utrecht_cin_305_A	Evo_Bichat_3_011_T0	Evo_Madrid_EFQ_25	Evo_Bichat_3_012_T0	Evo_Madrid_EFQ_10	Evo_Bichat_3_031_T0	Evo_Bichat_3_015_T1	Evo_Bichat_3_009_T1	Evo_Utrecht_cin_291_A	Evo_Bichat_3_032_T0	Evo_Utrecht_cin_306_A	Evo_Bichat_3_036_T0	Evo_Bichat_3_028_T0	Evo_Bichat_3_026_T1	Evo_Bichat_1_003_T1	Evo_Utrecht_cin_228_D	Evo_Bichat_3_036_T1	Evo_Utrecht_cin_108_A	Evo_Madrid_EFQ_15	Evo_Bichat_3_012_T1	Evo_Bichat_3_016_T0	Evo_Utrecht_cin_228_C	Evo_Madrid_EFQ_31	Evo_Bichat_1_014_T2	Evo_Bichat_1_012_T0	Evo_Bichat_3_021_T0	Evo_Bichat_3_034_T0	Evo_Madrid_EFQ_6	Evo_Bichat_1_016_T2	Evo_Bichat_1_003_T2	Evo_Utrecht_cin_180_A	Evo_Utrecht_XZ_028	Evo_Bichat_3_007_T1	Evo_Madrid_EFQ_3	Evo_Bichat_1_024_T1	Evo_Utrecht_XZ_033	Evo_Utrecht_cin_236_B	Evo_Bichat_3_024_T1	Evo_Utrecht_cin_197_A	Evo_Utrecht_cin_325_B	Evo_Utrecht_cin_169_C	Evo_Utrecht_XZ_030	Evo_Bichat_1_019_T2	Evo_Bichat_3_013_T0	Evo_Utrecht_cin_213_A	Evo_Utrecht_cin_108_C	Evo_Bichat_1_010_T2	Evo_Utrecht_XZ_034	Evo_Bichat_1_025_T0	Evo_Utrecht_cin_210_C	Evo_Utrecht_cin_319_B	Evo_Utrecht_XZ_032	Evo_Utrecht_cin_120_A	Evo_Bichat_3_025_T1	Evo_Bichat_3_008_T0	Evo_Bichat_1_026_T1	Evo_Bichat_3_007_T0	Evo_Utrecht_cin_236_A	Evo_Bichat_2_007_T1	Evo_Madrid_EFQ_7	Evo_Madrid_EFQ_34	Evo_Madrid_EFQ_5	Evo_Utrecht_XZ_001	Evo_Bichat_3_026_T0	Evo_Bichat_1_001_T1	Evo_Madrid_EFQ_11	Evo_Utrecht_XZ_036	Evo_Utrecht_cin_306_B	Evo_Bichat_1_012_T1	Evo_Bichat_3_021_T1	Evo_Bichat_1_011_bis_T2	Evo_Madrid_EFQ_27	Evo_Utrecht_cin_197_C	Evo_Madrid_EFQ_35	Evo_Madrid_EFQ_29	Evo_Bichat_2_007_T0	Evo_Bichat_3_009_T0	Evo_Utrecht_cin_108_E	Evo_Bichat_3_014_T0	Evo_Bichat_1_016_T0	Evo_Madrid_EFQ_26	Evo_Utrecht_XZ_014	Evo_Madrid_EFQ_36	Evo_Bichat_1_024_T2	Evo_Bichat_3_013_T1	Evo_Bich_3_007_T0	Evo_Bichat_1_016_T1	Evo_Utrecht_cin_213_C	Evo_Bichat_1_010_T0	Evo_Utrecht_cin_105_C_3	Evo_Utrecht_cin_164_B	Evo_Utrecht_XZ_016	Evo_Bichat_3_025_T0	Evo_Bichat_1_024_T0	Evo_Bichat_1_003_T0	Evo_Madrid_EFQ_9	Evo_Utrecht_XZ_017	Evo_Bichat_1_022_T0	Evo_Madrid_EFQ_33	Evo_Utrecht_cin_228_A	Evo_Bichat_3_011_T1	Evo_Madrid_EFQ_8	Evo_Madrid_EFQ_32	Evo_Madrid_EFQ_24	Evo_Utrecht_cin_120_G	Evo_Utrecht_cin_169_A	Evo_Utrecht_XZ_005	Evo_Utrecht_cin_210_A	Evo_Bichat_3_017_T1	Evo_Madrid_EFQ_30	Evo_Madrid_EFQ_17	Evo_Utrecht_XZ_015	Evo_Bichat_1_001_T0	Evo_Utrecht_cin_105_B_1	Evo_Madrid_EFQ_19	Evo_Madrid_EFQ_16	Evo_Utrecht_cin_233_A	Evo_Madrid_EFQ_13	Evo_Utrecht_cin_105_A_4	Evo_Madrid_EFQ_4	Evo_Utrecht_XZ_018	Evo_Utrecht_cin_165_C	Evo_Madrid_EFQ_28	Evo_Madrid_EFQ_1	Evo_Utrecht_cin_165_A	Evo_Madrid_EFQ_12	Evo_Utrecht_cin_105_D	Evo_Utrecht_cin_342_B	Evo_Utrecht_XZ_035	Evo_Utrecht_XZ_024	Evo_Madrid_EFQ_23	Evo_Utrecht_XZ_026	Evo_Utrecht_XZ_027	Evo_Utrecht_XZ_031	Evo_Utrecht_cin_165_D	Evo_Utrecht_XZ_029	Evo_Utrecht_cin_120_E	Evo_Utrecht_cin_228_B	Evo_Utrecht_cin_120_H	Evo_Utrecht_XZ_007	Evo_Utrecht_XZ_022	Evo_Bichat_1_010_T1	Evo_Bichat_1_026_T0	Evo_Utrecht_XZ_023	Evo_Utrecht_XZ_002	Evo_Bichat_1_025_T2	Evo_Utrecht_XZ_009	Evo_Utrecht_XZ_003	Evo_Utrecht_XZ_008	Evo_Utrecht_XZ_011	Evo_Utrecht_XZ_006	Evo_Utrecht_XZ_012	Evo_Utrecht_XZ_013	Evo_Utrecht_XZ_019	Evo_Utrecht_XZ_020	Evo_Utrecht_XZ_021
MC3.MG13.AS1.GP1.C5521.G2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	9	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
MC3.MG13.AS1.GP1.C579.G2	0	0	0	223	1	0	0	0	44	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	12	1	0	0	4	0	0	0	0	1	0	0	0	0	0	204	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	17	0	0	2	0	0	0	17	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	12	0	0	0	0	0	0	11	0	0	0	0	0	1	0	20	0	0	32	0	174	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
MC3.MG13.AS1.GP1.C6262.G3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG13.AS1.GP1.C6602.G11	0	0	0	3	3	0	1	0	0	0	0	0	2	4	0	1	0	0	0	0	0	1	0	4	11	1	0	0	0	796	0	0	0	0	0	0	1	0	6	0	3	4	0	0	0	0	0	1	0	1	0	0	0	0	0	1645	0	0	2	2	3	0	0	0	0	0	2	1	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	4	0	5	0	0	6	0	0	5	2	0	0	0	0	142	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	2	0	131	1	0	0	0	0	0	0	1	12	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	4	1	0	46	0	0	0	0	0	0	0	0
MC3.MG13.AS1.GP1.C7298.G3	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG13.AS1.GP1.C7646.G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG13.AS1.GP1.C9088.G3	0	0	0	177	0	5	0	0	17	0	0	68	0	0	0	0	0	0	1	2	0	0	0	0	63	1	1	0	0	50	0	0	0	0	0	0	0	0	3	0	18	0	0	0	0	0	11	0	0	0	0	5	0	0	0	63	0	0	1	32	0	0	0	19	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	93	0	0	0	0	1	0	0	0	4	36	0	0	13	0	11	0	11	0	0	41	0	0	0	0	0	0	49	1	0	0	9	2	0	0	1	0	0	12	0	0	0	0	0	0	0	10	0	0	27	0	49	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	57	0	0	0	0	0	0	0	0	0	0
MC3.MG130.AS1.GP1.C14231.G2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG130.AS1.GP1.C14618.G3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG130.AS1.GP1.C15064.G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG130.AS1.GP1.C18590.G7	0	0	2	7	7	7	5	0	0	1	0	0	2	1	0	1	5	0	0	14	4	0	0	3	5	1	0	3	0	1	0	6	0	0	28	0	4	2	121	11	0	3	9	0	1	0	0	0	0	2	0	0	5	2	41	8	0	0	0	0	2	0	34	0	7	0	0	1	32	1	0	1	0	3	0	0	0	0	2	0	0	1	0	5	0	0	0	1	14	0	0	1	2	5	18	9	7	24	7	3	6	0	0	1	8	6	12	0	13	1	2	0	0	0	4	2	0	2	0	0	0	2	3	0	0	0	0	9	1	4	2	0	0	1	12	1	39	1	11	1	0	0	8	4	2	19	0	3	0	1	0	0	1	1	12	0	1	2	2	6	7	3	0	0	0	33	0	4	0	3	0	0	0	72	0	0	2	5	0	6	5	0	15	1	1	0	0	0	0	0	0
MC3.MG130.AS1.GP1.C27016.G6	0	0	0	1	0	0	0	0	0	0	0	146	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG130.AS1.GP1.C27990.G4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG130.AS1.GP1.C34340.G18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG130.AS1.GP1.C35124.G2	0	0	6	0	0	0	0	0	3	0	0	143	0	0	1	0	4	0	0	8	0	0	0	0	1	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	13	0	0	10	0	0	49	0	0	0	0	4	0	1	1	0	1	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	33	0	0	2	0	0	0	1	0	0	0	8	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG130.AS1.GP1.C38075.G5	3	0	6	22	16	2	7	0	0	8	3	3	1	0	0	1	1	1	1	8	6	0	0	4	4	1	1	6	1	0	17	15	1	0	2	0	6	0	2	1	0	4	9	0	6	0	2	3	1	0	2	0	2	0	0	2	0	0	3	5	0	0	1	1	0	10	15	7	0	0	0	1	6	2	0	4	0	10	5	0	0	0	0	3	0	0	0	2	5	0	0	5	2	0	7	1	0	0	2	0	2	0	0	12	3	0	0	1	0	0	2	0	10	8	11	0	0	6	5	0	0	3	13	1	1	7	0	6	7	4	2	0	2	8	4	11	5	1	0	9	16	0	2	7	4	0	0	1	2	0	0	4	2	0	4	0	0	0	2	0	1	0	1	0	3	0	0	6	0	0	0	0	0	4	0	5	2	1	0	10	2	0	15	2	0	0	0	0	0	0	0
MC3.MG130.AS1.GP1.C6323.G1	0	0	3	0	0	1	0	0	0	0	0	21	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	6	0	0	17	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	16	0	0	1	0	2	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
MC3.MG130.AS1.GP1.C6491.G2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG131.AS1.GP1.C10432.G2	0	0	0	2	0	14	16	0	2	6	0	1	0	0	0	0	10	0	0	2	9	0	0	0	8	0	0	0	0	0	0	4	0	2	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	1	0	2	0	1	2	0	1	4	0	4	0	0	1	0	2	4	0	1	0	0	0	7	6	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	4	0	0	1	0	4	0	0	8	3	3	1	0	0	0	8	3	0	0	0	0	1	0	0	0	15	0	0	0	2	0	0	9	7	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	7	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	26	10	0	3	0	0	1	0	0	0	0	0
MC3.MG131.AS1.GP1.C11394.G2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
MC3.MG131.AS1.GP1.C11756.G1	1	0	1	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	27	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MC3.MG131.AS1.GP1.C14288.G5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG131.AS1.GP1.C14288.G8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG131.AS1.GP1.C20708.G1	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG131.AS1.GP1.C34318.G2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG131.AS1.GP1.C3755.G2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	728	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	570	0	0	0	0	1	0	0	0	0	716	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
